REF ID,Website Name,Website URL,State,External Resouce type,Level,Category of External Resource,Authors,Attribution,,MeSH tags,Notes,,,,,,,,,,
CD003124,Cochrane Systematic Review: Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003124,Pending,Systematic_review,level 4,individual page on a site," Chalumeau M, Duijvestijn YC",Cochrane,,"Respiratory Tract Infections,Cough,",ARI,lower respiratory tract infection,respiratory tract infection,cough,,,,,,,
CD008400,Cochrane Systematic Review: Acupuncture for mumps in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008400,Pending,Systematic_review,level 4,individual page on a site," He J, Zheng M, Zhang M, Jiang H",Cochrane,,"Respiratory Tract Infections,Mumps,Fever,",ARI,mumps,fever,,,,,,,,
CD002980,Cochrane Systematic Review: Acyclovir for treating varicella in otherwise healthy children and adolescents,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002980,Pending,Systematic_review,level 4,individual page on a site," Klassen TP, Hartling L, Wiebe N, Belseck EM. Acyclovir for treating varicella 
in otherwise healthy children and adolescents. Cochrane Database Syst Rev. 2005
Oct 19;(4):CD002980. Review. PubMed PMID: 16235308.


3: Klassen TP, Belseck EM, Wiebe N, Hartling L. Acyclovir for treating varicella 
",Cochrane,,"Respiratory Tract Infections,Chickenpox,",ARI,varicella,Chicken pox,,,,,,,,
CD004419,Cochrane Systematic Review: Advising patients to increase fluid intake for treating acute respiratory infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004419,Pending,Systematic_review,level 4,individual page on a site," Guppy MP, Mickan SM, Del Mar CB, Thorning S, Rack A",Cochrane,,"Respiratory Tract Infections,Dehydration,",ARI,acute respiratory infection,dehydration,,,,,,,,
CD002745,Cochrane Systematic Review: Amantadine and rimantadine for influenza A in children and the elderly,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002745,Pending,Systematic_review,level 4,individual page on a site," Alves Galv_o MG, Rocha Crispino Santos MA, Alves da Cunha AJ",Cochrane,,"Respiratory Tract Infections,Influenza A virus,Influenza A Virus, H1N1 Subtype,",ARI,influenza A,H1N1 Subtype influenza,,,,,,,,
CD004884,Cochrane Systematic Review: Antibiotic prophylaxis for preventing meningitis in patients with basilar skull fractures,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004884,Pending,Systematic_review,level 4,individual page on a site," Ratilal BO, Costa J, Sampaio C, Pappamikail L",Cochrane,,"Respiratory Tract Infections,Meningitis,Skull Fracture, Basilar,Cerebrospinal Fluid Rhinorrhea,",ARI,meningitis,basilar skull fracture,cerebrospinal fluid rhinorrhea,,,,,,,Meningitis
CD000219,Cochrane Systematic Review: Antibiotics for acute otitis media in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000219,Pending,Systematic_review,level 4,individual page on a site," Venekamp RP, Sanders S, Glasziou PP, Del Mar CB, Rovers MM. Antibiotics for
acute otitis media in children. Cochrane Database Syst Rev. 2013 Jan
31;1:CD000219. doi: 10.1002/14651858.CD000219.pub3. Review. PubMed PMID:
23440776.


3: Glasziou PP, Del Mar CB, Sanders SL, Hayem M. Antibiotics for acute otitis
media in children. Cochr",Cochrane,,"Respiratory Tract Infections,Earache,Tympanic Membrane Perforation,Acute Disease,",ARI,acute otitis media,earache,tympanic membrane perforation,acute disease,,,,,,
CD005189,Cochrane Systematic Review: Antibiotics for bronchiolitis in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005189,Pending,Systematic_review,level 4,individual page on a site," Spurling GK, Doust J, Del Mar CB, Eriksson L",Cochrane,,"Respiratory Tract Infections,Bronchiolitis,",ARI,bronchiolitis,,,,,,,,,bronchiolitis
CD004875,Cochrane Systematic Review: Antibiotics for community-acquired lower respiratory tract infections secondary to Mycoplasma pneumoniae in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004875,Pending,Systematic_review,level 4,individual page on a site," Mulholland S, Gavranich JB, Gillies MB, Chang AB",Cochrane,,"Respiratory Tract Infections,Mycoplasma pneumoniae,Bronchitis,Community-Acquired Infections,",ARI,community-acquired lower respiratory tract infection,Mycoplasma pneumoniae,bronchitis,community-acquired infection,,,,,,
CD004874,Cochrane Systematic Review: Antibiotics for community-acquired pneumonia in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004874,Pending,Systematic_review,level 4,individual page on a site," Lodha R, Kabra SK, Pandey RM",Cochrane,,"Respiratory Tract Infections,Community-Acquired Infections,Pneumonia, Bacterial,",ARI,community-acquired pneumonia,community-acquired infection,bacterial pneumonia,,,,,,,
